uid,name,lat,lon
780,"LuHu, Guangzhou (广州麓湖)",23.1569,113.281
781,"Tianhu, Guangzhou (广州天湖)",23.6502,113.6246
782,"Zhudong, Guangzhou (广州竹洞)",23.4208,113.073
788,"Huìjǐngchéng, Foshan (佛山惠景城)",23.0019,113.1047
789,"Wān liáng, Foshan (佛山湾梁)",23.0048,113.134
790,"Huicai technical school, Foshan (佛山华材职中)",23.0395,113.105
791,"Sanshuiyun donghai, Foshan (佛山三水云东海)",23.1886,112.863
792,"Nanhai Bureau of Meteorology, Foshan (佛山南海气象局)",23.0467,113.144
793,"Gāomíng kǒngtáng, Foshan (佛山高明孔堂)",22.8693,112.844
794,"Sanshui Monitoring Station, Foshan (佛山三水监测站)",23.1572,112.885
818,"Dongcheng Shijing, Dongguan (东莞东城石井)",23.01277778,113.7944444
819,"Nancheng Xiping, Dongguan (东莞南城西平)",22.96583333,113.7383333
820,"Nancheng Yuanling, Dongguan (东莞南城元岭)",23.02777778,113.7461111
1542,Foshan (佛山),23.021548,113.121416
3514,Qingyuan (清远),23.681764,113.056031
7026,"Jinjuzui, Foshan (佛山金桔咀)",22.819722,113.261667
7027,"Shùndé sūgǎng, Foshan (佛山顺德苏岗)",22.8054,113.292
7033,"EPA building, Qingyuan (清远环保大楼)",23.6936,113.0425
7034,"guǎn chéng lí chuān, Dongguan (东莞莞城梨川)",23.06,113.7480556
7035,"dōngchéng zhǔ shān, Dongguan (东莞东城主山)",23.05361111,113.7819444
8318,"tǐyù xī, Guangzhou (广州体育西)",23.1323,113.3208
9841,"pānyú zhōngxué, Guangzhou (广州番禺中学)",22.9477,113.352
9842,"huādū shīfàn, Guangzhou (广州花都师范)",23.3917,113.215
9843,"jiǔlóng zhèn zhèn lóng, Guangzhou (广州九龙镇镇龙)",23.2783,113.568
9844,"guǎngyǎ zhōngxué, Guangzhou (广州广雅中学)",23.1422,113.235
9845,"City Monitoring Station, Guangzhou (广州市监测站)",23.1331,113.26
9846,"shì wǔ zhōng, Guangzhou (广州市五中)",23.105,113.261
9847,"guǎngdōng shāngxuéyuàn, Guangzhou (广州广东商学院)",23.0916,113.348
9848,"shì bāshí liù zhōng, Guangzhou (广州市八十六中)",23.105,113.433
9854,"Fengcheng Subdistrict, Qingyuan (清远凤城街办)",23.7106,113.0208
9855,"Technician college, Qingyuan (清远技师学院)",23.63444,113.0472
14223,"高新知青,  (肇庆市高新知青)",23.309117,112.818562
14235,"黄埔港,  (广州市黄埔港)",23.0972,113.4458
14236,"狮山港,  (佛山市狮山港)",23.0844,112.9628
14258,"海珠湖,  (广州市海珠湖)",23.079261,113.327063
14259,"黄埔永和,  (广州市黄埔永和)",23.205456,113.559674
14260,"荔湾芳村,  (广州市荔湾芳村)",23.079976,113.235756
14261,"南沙黄阁,  (广州市南沙黄阁)",22.8168,113.4922
14262,"天河五山,  (广州市天河五山)",23.159499,113.364621
14263,"增城派潭,  (广州市增城派潭)",23.496093,113.790235
14264,"增城荔城,  (广州市增城荔城)",23.2614,113.8051
14271,"东莞松山湖,  (东莞市东莞松山湖)",22.925278,113.881944
14277,"高明杨和,  (佛山市高明杨和)",22.818963,112.800431
14278,"南海狮山,  (佛山市南海狮山)",23.17846,112.989113
14279,"三水南山,  (佛山市三水南山)",23.530838,112.880875
14280,"顺德伦教,  (佛山市顺德伦教)",22.881781,113.20812
14281,"佛山新城,  (佛山市佛山新城)",22.976474,113.12795
14291,"佛冈沿江,  (清远市佛冈沿江)",23.8825,113.5238
14292,"清城银盏,  (清远市清城银盏)",23.559154,113.146471
14344,"黄埔科学城,  (广州市黄埔科学城)",23.1716,113.4256
14349,"清城东城,  (清远市清城东城)",23.7198,113.076
14351,"清新太和,  (清远市清新太和)",23.7403,112.9903
14354,"万江金泰,  (东莞市万江金泰)",23.0381,113.7338
14364,"黄埔西区,  (广州市黄埔西区)",23.0632,113.5256
14365,"杨箕路边站,  (广州市杨箕路边站)",23.1294,113.3011
14366,"黄沙路边站,  (广州市黄沙路边站)",23.1161,113.2314
14367,"天河奥体,  (广州市天河奥体)",23.1467,113.405
14368,"海珠沙园,  (广州市海珠沙园)",23.0925,113.2606
14369,"白云石井,  (广州市白云石井)",23.2264,113.2383
14370,"白云山,  (广州市白云山)",23.1932,113.3007
14371,"天河龙洞,  (广州市天河龙洞)",23.1988,113.3608
14372,"番禺大夫山,  (广州市番禺大夫山)",22.9561,113.3003
14373,"番禺南村,  (广州市番禺南村)",23.0103,113.3739
14375,"Fènghuáng shān,  (广州市凤凰山)",23.2315,113.3655
14378,"东莞麻涌,  (东莞市东莞麻涌)",23.046944,113.563611
14379,"五峰,  (佛山市五峰)",23.029,113.0974
14380,"Nánzhuāng,  (佛山市南庄)",22.9768,112.996
14385,"高明水厂,  (佛山市高明水厂)",22.9131,112.8963
14387,"牛牯岭,  (佛山市牛牯岭)",23.1473,113.0329
14388,"街边,  (佛山市街边)",23.0576,113.0673
14390,"番禺大石,  (广州市番禺大石)",23.03056056,113.2791002
14391,"南海西樵,  (佛山市南海西樵)",22.9504,112.9689
14392,"九江,  (佛山市九江)",22.8371,112.9999
14393,"丹灶,  (佛山市丹灶)",23.0404,112.9197
14394,"大沥,  (佛山市大沥)",23.1171,113.1277
14395,"里水,  (佛山市里水)",23.21319,113.1562
14399,"高明富湾,  (佛山市高明富湾)",23.0015,112.8441
14411,"文华路边站,  (佛山市文华路边站)",23.0097,113.1291
14412,"南城元美,  (东莞市南城元美)",23.0206,113.7506
14476,"从化良口, Guangzhou (广州从化良口)",23.7372,113.7861
14478,"花都梯面, Guangzhou (广州花都梯面)",23.5544,113.2902
14486,"白云竹料, Guangzhou (广州白云竹料)",23.368611111111,113.34777777778
14488,"白云嘉禾, Guangzhou (广州白云嘉禾)",23.239108333333,113.2885
14516,"番禺大学城, Guangzhou (广州番禺大学城)",23.0483,113.3942
